Jugador,Pais,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Min,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado,jugador_id
Mark Travers,IRL,PO,Bournemouth,23,1999.0,6.5,6.0,562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,50 mill. €",2023
Marko Arnautović,AUT,Delantero,Inter,34,1989.0,20.33333333333333,16.666666666666668,1451.0,8.0,0.6666666666666666,8.666666666666666,3.6666666666666665,0.0,7.366666666666667,2.2666666666666666,"5,00 mill. €",2024
Marko Dmitrović,SRB,PO,Eibar,31,1992.0,22.285714285714285,22.0,1989.857142857143,0.1428571428571428,0.0,0.1428571428571428,1.1428571428571428,0.0,0.3,0.0999999999999999,"2,00 mill. €",2025
Marko Janković,MNE,Delantero,SPAL,24,1995.0,6.0,1.0,115.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,500 mil €,2026
Marko Lazetić,SRB,Delantero,Milan,18,2004.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,"2,00 mill. €",2027
Marko Milovanović,SRB,Delantero,Almería,20,2003.0,2.0,0.0,21.5,0.0,0.0,0.0,0.5,0.0,0.05,0.0,"1,00 mill. €",2028
Marko Pajač,CRO,Defensa,Genoa,26,1993.0,11.0,8.0,759.0,0.0,0.0,0.0,1.0,0.0,0.3,1.7,650 mil €,2029
Marko Pjaca,CRO,Centrocampista,Empoli,27,1995.0,25.33333333333333,11.0,1030.6666666666667,2.0,0.6666666666666666,2.6666666666666665,0.3333333333333333,0.0,1.7666666666666668,1.1666666666666667,"1,70 mill. €",2030
Marko Rog,CRO,Centrocampista,Sevilla,26,1995.0,15.5,12.0,1037.5,0.25,0.5,0.75,4.25,0.0,0.625,0.65,"1,70 mill. €",2031
Marley Aké,FRA,Delantero,Udinese,22,2001.0,2.5,0.0,43.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,"1,80 mill. €",2032
Marlon,BRA,Defensa,Monza,26,1995.0,25.0,19.33333333333333,1717.3333333333333,0.0,0.0,0.0,7.0,0.6666666666666666,0.4333333333333333,0.3333333333333333,"6,00 mill. €",2033
Marlos Moreno,COL,Centrocampista,Girona,20,1996.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950 mil €,2034
Marquinhos,BRA,Centrocampista,Arsenal,19,2003.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"65,00 mill. €",2035
Marten de Roon,NED,Centrocampista,Atalanta,32,1991.0,29.4,27.2,2466.8,1.8,2.2,4.0,7.8,0.4,1.02,1.1,"10,00 mill. €",2036
Martin Agirregabiria,ESP,Defensa,Alavés,25,1996.0,25.8,19.8,1826.6,0.2,1.4,1.6,3.6,0.2,0.24,0.8200000000000001,0.00,2037
Martin Braithwaite,DEN,Delantero,Leganés,31,1991.0,19.666666666666668,14.0,1268.1666666666667,4.166666666666667,1.8333333333333333,6.0,2.833333333333333,0.1666666666666666,5.0666666666666655,1.5166666666666666,"5,00 mill. €",2038
Martin Dúbravka,SVK,PO,Newcastle Utd,33,1989.0,19.75,19.5,1771.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,"1,50 mill. €",2039
Martin Erlic,CRO,Defensa,Sassuolo,25,1998.0,24.5,21.75,1952.25,1.25,0.25,1.5,3.5,0.0,1.325,0.2,"5,00 mill. €",2040
Martin Hongla,CMR,Defensa,Valladolid,25,1998.0,13.5,9.25,815.0,0.25,0.0,0.25,3.5,0.5,0.425,0.1999999999999999,"3,00 mill. €",2041
Martin Kelly,ENG,Defensa,Crystal Palace,30,1990.0,10.0,8.5,775.5,0.0,0.5,0.5,0.0,0.0,0.05,0.4,300 mil €,2042
