,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
2856,Jack Harrison,ENG,Delantero,Leeds United,25,1996,36,34,2708,5,7,12,2,0,4.7,5.1,2022-2023
2857,Kai Havertz,GER,Delantero,Chelsea,23,1999,35,30,2569,7,1,8,5,0,11.6,3.8,2022-2023
2858,Jan Paul van Hecke,NED,Defensa,Brighton,22,2000,8,3,295,0,0,0,2,0,0.6,0.0,2022-2023
2859,Hwang Hee-chan,KOR,Delantero,Wolves,26,1996,27,12,1130,3,1,4,1,0,2.9,1.1,2022-2023
2860,Dean Henderson,ENG,PO,Nott'ham Forest,25,1997,18,18,1620,0,0,0,2,0,0.0,0.0,2022-2023
2861,Jordan Henderson,ENG,Centrocampista,Liverpool,32,1990,35,23,2074,0,2,2,2,0,1.4,3.2,2022-2023
2862,Wayne Hennessey,WAL,PO,Nott'ham Forest,35,1987,4,3,271,0,0,0,0,0,0.0,0.0,2022-2023
2863,Rico Henry,ENG,Defensa,Brentford,25,1997,37,37,3238,0,2,2,4,0,1.6,2.7,2022-2023
2864,Son Heung-min,KOR,Centrocampista,Tottenham,30,1992,36,33,2888,10,6,16,2,0,10.1,6.5,2022-2023
2865,Aaron Hickey,SCO,Defensa,Brentford,20,2002,26,23,1916,0,1,1,7,0,0.4,0.4,2022-2023
2866,Jack Hinshelwood,ENG,Delantero,Brighton,17,2005,1,0,2,0,0,0,0,0,0.0,0.0,2022-2023
2867,Joseph Hodge,IRL,Centrocampista,Wolves,19,2002,6,1,175,0,0,0,1,0,0.3,0.1,2022-2023
2868,Rob Holding,ENG,Defensa,Arsenal,26,1995,14,6,566,1,0,1,0,0,0.3,0.0,2022-2023
2869,Mason Holgate,ENG,Defensa,Everton,25,1996,8,5,507,0,0,0,3,1,1.0,0.4,2022-2023
2870,Will Hughes,ENG,Centrocampista,Crystal Palace,27,1995,27,7,842,1,1,2,4,0,0.3,0.9,2022-2023
2871,Omari Hutchinson,ENG,Delantero,Chelsea,18,2003,1,0,23,0,0,0,0,0,0.0,0.0,2022-2023
2872,Pierre Højbjerg,DEN,Centrocampista,Tottenham,26,1995,35,35,3131,4,5,9,5,0,2.0,3.1,2022-2023
2873,Kelechi Iheanacho,NGA,Delantero,Leicester City,25,1996,28,11,1127,5,5,10,0,0,7.1,4.0,2022-2023
2874,Danny Ings,ENG,Delantero,West Ham,30,1992,17,7,775,2,2,4,1,0,3.0,1.0,2022-2023
2875,Danny Ings,ENG,Delantero,Aston Villa,30,1992,18,8,824,6,0,6,3,0,5.3,1.2,2022-2023
2876,Alexander Isak,SWE,Delantero,Newcastle Utd,22,1999,22,17,1522,10,1,11,3,0,8.2,2.2,2022-2023
2877,Daniel Iversen,DEN,PO,Leicester City,25,1997,12,12,1080,0,0,0,0,0,0.0,0.0,2022-2023
2878,Alex Iwobi,NGA,Centrocampista,Everton,26,1996,38,38,3378,2,7,9,2,0,2.5,6.1,2022-2023
2879,Daniel James,WAL,Delantero,Leeds United,24,1997,4,2,198,0,0,0,0,0,0.3,0.3,2022-2023
2880,Daniel James,WAL,Delantero,Fulham,24,1997,20,5,621,2,1,3,0,0,1.7,0.7,2022-2023
2881,Reece James,ENG,Defensa,Chelsea,22,1999,16,14,1244,1,1,2,4,0,1.0,3.0,2022-2023
2882,Vitaly Janelt,GER,Centrocampista,Brentford,24,1998,35,24,2208,3,1,4,3,0,2.4,1.4,2022-2023
2883,Pontus Jansson,SWE,Defensa,Brentford,31,1991,12,9,724,1,0,1,0,0,0.3,0.0,2022-2023
2884,Mathias Jensen,DEN,Centrocampista,Brentford,26,1996,37,37,2803,5,6,11,5,0,2.2,5.0,2022-2023
2885,Gabriel Jesus,BRA,Delantero,Arsenal,25,1997,26,24,2064,11,6,17,6,0,14.0,3.9,2022-2023
2886,Raúl Jiménez,MEX,Delantero,Wolves,31,1991,15,8,846,0,1,1,0,0,2.6,1.7,2022-2023
2887,Joelinton,BRA,Centrocampista,Newcastle Utd,25,1996,32,30,2661,6,1,7,12,0,7.1,2.4,2022-2023
2888,Ben Johnson,ENG,Defensa,West Ham,22,2000,17,9,866,0,0,0,0,0,0.1,0.2,2022-2023
2889,Brennan Johnson,WAL,Delantero,Nott'ham Forest,21,2001,38,33,2934,8,3,11,6,0,8.6,3.2,2022-2023
2890,Sam Johnstone,ENG,PO,Crystal Palace,29,1993,9,9,810,0,0,0,1,0,0.0,0.0,2022-2023
2891,Curtis Jones,ENG,Centrocampista,Liverpool,21,2001,18,12,1035,3,1,4,2,0,1.2,1.1,2022-2023
2892,Jorginho,ITA,Centrocampista,Arsenal,30,1991,14,9,855,0,1,1,0,0,0.2,0.2,2022-2023
2893,Jorginho,ITA,Centrocampista,Chelsea,30,1991,18,15,1279,2,0,2,4,0,1.7,0.4,2022-2023
2894,Mateo Joseph,ENG,Delantero,Leeds United,18,2003,3,0,26,0,0,0,0,0,0.1,0.0,2022-2023
2895,Diogo Jota,POR,Delantero,Liverpool,25,1996,22,12,1131,7,4,11,2,0,6.5,2.1,2022-2023
2896,Hamed Junior Traorè,CIV,Delantero,Bournemouth,22,2000,7,5,427,0,0,0,0,0,0.9,1.1,2022-2023
2897,James Justin,ENG,Defensa,Leicester City,24,1998,14,14,1252,0,0,0,0,0,0.3,0.3,2022-2023
