Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
2802,Pedro Alcalá,ESP,Defensa,Girona,28,1989,8,8,689,1,0,1,4,0,1.0,0.2,150 mil €
2803,Álex Alegría,ESP,Delantero,Levante,24,1992,9,8,628,0,0,0,1,0,1.1,0.2,"1,20 mill. €"
2804,Iván Alejo,ESP,Centrocampista,Eibar,22,1995,22,14,1102,1,3,4,5,0,0.5,2.1,"65,00 mill. €"
2805,Alexander,ARG,Centrocampista,Leganés,28,1988,13,13,1060,2,2,4,1,0,2.2,2.5,"1,00 mill. €"
2806,Alexis,ESP,Defensa,Alavés,31,1985,28,25,2184,1,0,1,6,0,1.2,0.3,"65,00 mill. €"
2807,José Alonso Lara,ESP,Centrocampista,Sevilla,17,2000,1,0,10,0,0,0,0,0,0.0,0.0,-
2808,Sergio Álvarez,ESP,PO,Celta Vigo,30,1986,17,16,1476,0,0,0,0,0,0.0,0.1,"12,00 mill. €"
2809,Yeray Álvarez,ESP,Defensa,Athletic Club,22,1995,8,7,675,0,0,0,2,0,0.1,0.1,200 mil €
2810,Eloi Amagat,ESP,Centrocampista,Girona,32,1985,2,0,15,0,0,0,0,0,0.2,0.0,-
2811,Jordi Amat,IDN,Defensa,Betis,25,1992,25,24,2045,0,0,0,7,2,0.4,0.1,900 mil €
2812,Amath,SEN,Centrocampista,Getafe,21,1996,37,36,2859,3,3,6,9,0,4.4,2.7,"1,50 mill. €"
2813,Nordin Amrabat,MAR,Delantero,Leganés,30,1987,30,17,1623,2,4,6,6,1,3.7,3.2,400 mil €
2814,Jon Ander Serantes,ESP,PO,Leganés,27,1989,1,1,90,0,0,0,0,0,0.0,0.0,150 mil €
2815,Florin Andone,ROU,Delantero,La Coruña,24,1993,29,16,1636,7,3,10,6,0,11.4,0.9,800 mil €
2816,Miguel Ángel Guerrero,ESP,Delantero,Leganés,27,1990,22,15,1442,4,3,7,3,0,5.7,1.5,500 mil €
2817,José Ángel,ESP,Defensa,Eibar,27,1989,30,28,2426,0,8,8,4,0,0.5,4.1,-
2818,Miguel Ángel Moyá,ESP,PO,Real Sociedad,33,1984,9,9,764,0,0,0,0,0,0.0,0.0,"1,20 mill. €"
2819,Miguel Ángel Rubio,ESP,Defensa,Getafe,19,1998,1,0,29,0,0,0,0,0,0.0,0.0,"6,00 mill. €"
2820,Alberto Aquilani,ITA,Centrocampista,Las Palmas,33,1984,21,15,1297,0,0,0,4,0,0.7,0.5,-
2821,Mauro Arambarri,URU,Centrocampista,Getafe,21,1995,27,26,2124,1,1,2,9,1,1.6,1.9,"11,00 mill. €"
2822,Guilherme Arana,BRA,Defensa,Sevilla,20,1997,3,2,193,0,0,0,0,0,0.0,0.0,"3,00 mill. €"
2823,Sergio Araujo,ARG,Centrocampista,Las Palmas,25,1992,2,0,39,0,0,0,0,0,0.1,0.0,400 mil €
2824,Anaitz Arbilla,ESP,Defensa,Eibar,30,1987,29,26,2414,2,1,3,8,0,0.8,0.4,"2,50 mill. €"
2825,José Arnaiz,ESP,Centrocampista,Barcelona,22,1995,1,0,6,0,0,0,0,0,0.0,0.0,"10,00 mill. €"
2826,Alejandro Arribas,ESP,Defensa,La Coruña,28,1989,3,3,270,0,0,0,0,0,0.2,0.0,"25,00 mill. €"
2827,Kepa Arrizabalaga,ESP,PO,Athletic Club,22,1994,30,30,2700,0,0,0,3,0,0.0,0.3,-
2828,Aythami Artiles,ESP,Defensa,Las Palmas,31,1986,3,2,184,0,0,0,0,0,0.0,0.0,"18,00 mill. €"
2829,Sergio Asenjo,ESP,PO,Villarreal,28,1989,23,23,2070,0,0,0,3,0,0.0,0.0,700 mil €
2830,Marco Asensio,ESP,Delantero,Real Madrid,21,1996,32,19,1844,6,6,12,2,0,4.5,6.4,350 mil €
2831,Iago Aspas,ESP,Delantero,Celta Vigo,29,1987,34,33,2936,22,5,27,9,0,17.3,9.5,"5,00 mill. €"
