Jugador,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
Francisco Jesús Crespo García,27,1996.0,8.0,5.0,340.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2
Francisco Molinero,32,1985.0,10.0,5.0,579.0,0.0,0.0,0.0,5.0,0.0,0.1,0.2
Francisco Montero,19,1999.0,9.0,4.0,404.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Francisco Mwepu,22,2000.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Perez,21,2002.0,10.5,6.0,549.0,0.5,1.5,2.0,2.0,0.0,0.3,1.0
Francisco Portillo,32,1990.0,24.8,11.4,1194.0,1.0,2.2,3.2,2.8,0.2,1.1800000000000002,1.72
Francisco Reis Ferreira,23,1997.0,3.0,2.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Sierralta,24,1997.0,5.0,5.0,427.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Francisco Trincão,21,1999.0,28.0,9.5,1021.0,2.5,1.5,4.0,0.5,0.0,3.1500000000000004,1.0
Franck Kessié,25,1996.0,32.75,25.25,2357.0,6.0,1.5,7.5,4.25,0.0,6.199999999999999,1.975
Franck Ribéry,39,1983.0,18.5,15.75,1254.0,1.25,2.75,4.0,3.0,0.5,1.525,2.8249999999999997
Franco Carboni,19,2003.0,3.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Franco Cervi,29,1994.0,25.0,14.666666666666666,1288.6666666666667,1.3333333333333333,2.3333333333333335,3.6666666666666665,2.6666666666666665,0.3333333333333333,1.8333333333333333,1.4666666666666668
Franco Di Santo,29,1989.0,6.0,1.0,172.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Franco Russo,27,1994.0,11.0,9.5,804.5,0.5,0.0,0.5,3.5,1.0,0.1,0.1
Franco Vázquez,31,1989.0,27.5,15.0,1345.0,2.75,2.5,5.25,4.75,0.25,3.025,2.4
Frank Onyeka,25,1998.0,17.333333333333332,7.666666666666667,786.3333333333334,0.0,1.0,1.0,2.3333333333333335,0.0,0.8333333333333334,0.7000000000000001
Frank Tsadjout,23,1999.0,20.0,14.0,1051.0,3.0,1.0,4.0,1.0,0.0,2.0,0.5
Fraser Forster,34,1988.0,13.666666666666666,13.333333333333334,1215.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
Fred,29,1993.0,30.5,21.5,1957.5,1.75,1.5,3.25,6.0,0.0,1.7,2.275
Freddie Veseli,28,1992.0,9.0,8.0,596.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
Freddie Woodman,24,1997.0,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frederic Guilbert,24,1994.0,25.0,22.0,2041.0,0.0,2.0,2.0,7.0,0.0,0.3,1.5
Frenkie de Jong,26,1997.0,27.6,25.0,2170.8,2.2,2.6,4.8,4.2,0.4,2.76,3.28
Fyodor Smolov,29,1990.0,14.0,10.0,743.0,2.0,0.0,2.0,4.0,0.0,2.0,0.1
Fábio Silva,21,2002.0,20.666666666666668,6.666666666666667,735.0,1.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,0.0,2.6999999999999997,0.4666666666666666
Félix Correia,19,2001.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabi,34,1983.0,34.0,25.0,2349.0,0.0,1.0,1.0,8.0,0.0,0.3,1.6
Gabriel,26,1992.5,31.5,31.0,2687.0,2.5,1.0,3.5,5.0,0.5,2.75,1.0
Gabriel Dos Santos,25,1997.0,26.75,26.0,2326.0,2.5,0.0,2.5,4.5,0.5,2.5,0.275
Gabriel Fernández,25,1994.0,20.0,5.0,561.0,1.0,1.0,2.0,5.0,1.0,0.7,0.2
Gabriel Jesus,26,1997.0,25.0,18.6,1692.6,8.6,5.0,13.6,2.8,0.0,10.62,3.1399999999999997
Gabriel Martinelli,22,2001.0,20.8,15.6,1340.0,5.4,2.8,8.2,1.6,0.2,4.66,3.3800000000000003
Gabriel Mercado,31,1987.0,24.5,22.0,1928.0,1.0,1.0,2.0,9.5,0.0,1.6,1.1
Gabriel Osho,25,1998.0,4.0,4.0,326.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gabriel Paulista,33,1990.0,25.0,24.0,2105.714285714286,1.1428571428571428,0.5714285714285714,1.7142857142857142,4.571428571428571,0.42857142857142855,0.857142857142857,0.2
Gabriel Peñalba,32,1984.0,7.0,7.0,570.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0
Gabriel Strefezza,26,1997.0,26.666666666666668,20.666666666666668,1760.0,3.3333333333333335,2.0,5.333333333333333,5.666666666666667,0.3333333333333333,3.466666666666667,2.3000000000000003
Gabriel Veiga,21,2002.0,12.5,7.25,634.5,2.75,1.0,3.75,1.5,0.25,1.525,0.65
Gabriele Corbo,19,2000.0,2.0,1.0,122.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gabriele Moncini,24,1996.0,7.0,3.0,255.5,0.0,0.0,0.0,0.0,0.0,0.6499999999999999,0.1
Gabriele Zappa,23,1999.0,24.0,15.333333333333334,1473.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,0.7000000000000001,2.0
Gaetano Berardi,31,1988.0,2.0,1.0,113.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Gaetano Castrovilli,25,1997.0,26.25,20.75,1778.5,2.75,1.75,4.5,6.25,0.25,2.175,1.7000000000000002
Gaetano Letizia,30,1990.0,24.0,18.0,1570.0,3.0,1.0,4.0,2.0,0.0,0.4,1.2
Gaetano Oristanio,21,2002.0,12.0,5.0,502.0,1.0,1.0,2.0,1.0,0.0,0.6,0.7
Gaku Shibasaki,26,1992.0,14.5,8.5,695.5,0.5,0.0,0.5,1.0,0.0,0.55,0.55
