,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
309,Nemanja Maksimović,SRB,Centrocampista,Getafe,27,1995,29,26,2053,0,0,0,3,0,1.8,0.6
310,Hugo Mallo,ESP,Defensa,Celta Vigo,31,1991,26,26,2163,0,1,1,6,1,1.4,2.6
311,Mickael Malsa,MTQ,Centrocampista,Valladolid,26,1995,5,0,69,0,0,0,0,0,0.0,0.0
312,Giorgi Mamardashvili,GEO,PO,Valencia,21,2000,38,38,3420,0,0,0,3,0,0.0,0.0
313,Reinildo Mandava,MOZ,Defensa,Atlético Madrid,28,1994,22,22,1857,0,0,0,4,0,0.4,0.5
314,Aïssa Mandi,ALG,Defensa,Villarreal,30,1991,21,16,1461,0,0,0,1,0,0.1,0.3
315,Marcão,BRA,Defensa,Sevilla,26,1996,5,4,375,0,0,0,2,0,0.0,0.0
316,Agustín Marchesín,ARG,PO,Celta Vigo,34,1988,19,19,1710,0,0,0,2,0,0.0,0.0
317,Óscar de Marcos,ESP,Defensa,Athletic Club,33,1989,37,32,2819,1,6,7,7,0,0.4,3.5
318,Alberto Marí,ESP,Delantero,Valencia,21,2001,5,0,86,1,0,1,1,0,0.2,0.0
319,José Mari,ESP,Centrocampista,Cádiz,34,1987,18,2,397,0,0,0,4,0,0.1,0.3
320,José María Giménez,URU,Defensa,Atlético Madrid,27,1995,28,26,2423,2,1,3,9,0,2.0,0.6
321,Mariano,DOM,Delantero,Real Madrid,28,1993,9,1,157,0,0,0,2,0,0.6,0.4
322,Pablo Marín,ESP,Centrocampista,Real Sociedad,19,2003,10,3,360,0,0,0,1,0,1.2,0.8
323,Diego Mariño,ESP,PO,Almería,32,1990,1,0,45,0,0,0,0,0,0.0,0.0
324,Roger Martí,ESP,Delantero,Elche,31,1991,12,8,655,0,1,1,2,0,0.6,0.7
325,Ander Martin,ESP,Centrocampista,Real Sociedad,21,2000,3,0,41,0,0,0,0,0,0.0,0.1
326,Andrés Martín,ESP,Delantero,Rayo Vallecano,23,1999,9,3,205,0,0,0,1,0,0.5,0.5
327,Carlos Martín,ESP,Delantero,Atlético Madrid,20,2002,4,0,28,0,0,0,1,0,0.1,0.0
328,Iván Martín,ESP,Centrocampista,Girona,23,1999,24,18,1586,3,3,6,2,0,2.4,2.2
329,Arnau Martinez,ESP,Defensa,Girona,19,2003,33,32,2732,3,4,7,11,0,1.9,4.3
330,Iñigo Martínez,ESP,Defensa,Athletic Club,31,1991,15,15,1338,1,0,1,1,0,0.8,0.3
331,Roger Martínez,ESP,Defensa,Espanyol,18,2004,1,0,7,0,0,0,0,0,0.0,0.0
332,Omar Mascarell,ESP,Centrocampista,Elche,29,1993,28,28,2447,0,1,1,6,0,0.4,1.1
333,Jordi Masip,ESP,PO,Valladolid,33,1989,28,28,2507,0,0,0,4,0,0.0,0.0
334,Jaime Mata,ESP,Delantero,Getafe,33,1988,18,5,437,1,1,2,5,0,1.9,1.3
335,Borja Mayoral,ESP,Delantero,Getafe,25,1997,35,33,2759,8,2,10,4,0,7.9,2.7
336,Mamadou Mbaye,SEN,Defensa,Cádiz,24,1998,14,7,760,0,0,0,2,0,0.1,0.2
337,Fernando Medrano,ESP,Defensa,Celta Vigo,22,2000,1,0,13,0,0,0,0,0,0.0,0.0
338,Gonzalo Melero,ESP,Centrocampista,Almería,28,1994,27,24,1855,4,3,7,5,0,3.0,1.8
339,Memphis,NED,Delantero,Atlético Madrid,28,1994,8,3,270,4,0,4,1,0,3.0,0.5
340,Houboulang Mendes,GNB,Defensa,Almería,24,1998,14,11,886,0,1,1,2,0,0.0,0.3
341,Brais Méndez,ESP,Centrocampista,Real Sociedad,25,1997,34,28,2407,8,4,12,6,0,5.6,3.8
342,Diego Méndez,ESP,Centrocampista,Rayo Vallecano,18,2003,1,0,1,0,0,0,0,0,0.0,0.0
343,Ferland Mendy,FRA,Defensa,Real Madrid,27,1995,18,17,1351,0,1,1,2,0,0.3,0.6
344,Jorge Meré,ESP,Defensa,Cádiz,25,1997,10,6,601,0,0,0,0,0,0.2,0.0
345,Mikel Merino,ESP,Centrocampista,Real Sociedad,26,1996,33,28,2494,2,9,11,5,1,4.3,5.4
346,Roque Mesa,ESP,Centrocampista,Valladolid,33,1989,29,20,1617,2,1,3,11,1,1.4,1.0
347,Éder Militão,BRA,Defensa,Real Madrid,24,1998,33,30,2703,5,0,5,4,0,2.4,0.6
348,Luis Milla,ESP,Centrocampista,Getafe,27,1994,27,22,1856,0,3,3,6,1,0.3,1.3
349,Pere Milla,ESP,Delantero,Elche,29,1992,31,21,1843,6,1,7,7,0,5.4,1.2
350,Marko Milovanović,SRB,Delantero,Almería,18,2003,2,0,15,0,0,0,1,0,0.1,0.0
351,Óscar Mingueza,ESP,Defensa,Celta Vigo,23,1999,21,13,1284,0,0,0,2,0,0.4,1.4
352,Rafa Mir,ESP,Delantero,Sevilla,25,1997,26,16,1298,6,0,6,1,0,7.4,1.0
353,Juan Miranda,ESP,Defensa,Betis,22,2000,21,16,1472,3,2,5,1,1,2.4,2.9
354,Stefan Mitrović,SRB,Defensa,Getafe,32,1990,22,18,1680,0,0,0,5,0,0.1,0.0
355,Luka Modrić,CRO,Centrocampista,Real Madrid,36,1985,33,19,1744,4,3,7,7,0,4.2,4.5
356,Johan Mojica,COL,Defensa,Villarreal,29,1992,17,5,642,0,0,0,0,0,0.1,0.9
357,Nahuel Molina,ARG,Defensa,Atlético Madrid,24,1998,33,33,2867,4,2,6,7,1,2.6,3.9
358,Jon Moncayola,ESP,Centrocampista,Osasuna,24,1998,37,25,2448,1,3,4,6,0,2.0,1.8
359,Monchu,ESP,Centrocampista,Valladolid,22,1999,33,23,2031,3,2,5,10,0,2.5,2.0
360,César Montes,MEX,Defensa,Espanyol,25,1997,20,18,1590,3,0,3,6,0,0.9,0.0
361,Gonzalo Montiel,ARG,Defensa,Sevilla,25,1997,28,17,1524,0,3,3,8,1,0.8,2.1
362,Martín Montoya,ESP,Defensa,Betis,31,1991,6,6,453,0,0,0,1,0,0.0,0.7
363,Álvaro Morata,ESP,Delantero,Atlético Madrid,29,1992,36,23,1900,13,2,15,4,0,11.8,2.0
