,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
185,Raúl García,ESP,Centrocampista,Athletic Club,31,1986,34,30,2627,10,1,11,10,0,9.9,3.5,2017-2018
186,Raúl García,ESP,Defensa,Leganés,28,1989,19,15,1392,0,2,2,1,0,0.2,2.2,2017-2018
187,Samu García,ESP,Centrocampista,Málaga,27,1990,7,2,177,0,1,1,1,1,0.1,0.1,2017-2018
188,Samu García,ESP,Delantero,Levante,27,1990,11,2,191,0,0,0,1,0,0.1,0.2,2017-2018
189,Sergio García,ESP,Delantero,Espanyol,34,1983,33,14,1641,2,6,8,4,0,4.0,3.9,2017-2018
190,Mario Gaspar,ESP,Defensa,Villarreal,26,1990,32,31,2806,2,3,5,6,0,1.3,2.3,2017-2018
191,Johannes Geis,GER,Defensa,Sevilla,23,1993,14,7,676,0,1,1,0,0,0.2,0.5,2017-2018
192,Carles Gil,ESP,Delantero,La Coruña,24,1992,10,6,476,0,1,1,0,0,0.3,1.4,2017-2018
193,Nacho Gil,ESP,Delantero,Las Palmas,21,1995,14,8,729,0,0,0,1,0,0.3,1.0,2017-2018
194,Nacho Gil,ESP,Centrocampista,Valencia,21,1995,6,2,229,0,1,1,0,0,0.1,0.4,2017-2018
195,Dani Giménez,ESP,PO,Betis,34,1983,4,4,308,0,0,0,0,0,0.0,0.0,2017-2018
196,Diego Godín,URU,Defensa,Atlético Madrid,31,1986,30,28,2554,0,0,0,6,0,1.9,0.6,2017-2018
197,André Gomes,POR,Centrocampista,Barcelona,24,1993,16,6,635,0,0,0,1,0,0.6,0.1,2017-2018
198,Ibai Gómez,ESP,Centrocampista,Alavés,27,1989,34,26,2319,7,6,13,1,0,4.7,5.7,2017-2018
199,Maxi Gómez,URU,Delantero,Celta Vigo,20,1996,36,35,3068,17,4,21,12,0,14.8,3.9,2017-2018
200,Sergi Gómez,ESP,Defensa,Celta Vigo,25,1992,33,31,2680,1,0,1,3,0,1.6,0.8,2017-2018
201,Vicente Gómez,ESP,Centrocampista,Las Palmas,28,1988,25,17,1525,0,0,0,3,0,0.8,0.4,2017-2018
202,Adrián González,ESP,Centrocampista,Málaga,29,1988,29,27,2340,3,0,3,8,1,3.6,1.2,2017-2018
203,Álvaro González,ESP,Defensa,Villarreal,27,1990,33,32,2898,0,2,2,14,1,1.6,0.6,2017-2018
204,Bruno González,ESP,Defensa,Getafe,27,1990,20,17,1540,0,0,0,5,0,0.4,0.8,2017-2018
205,Diego González,ESP,Defensa,Málaga,22,1995,18,17,1429,1,0,1,5,0,0.7,0.6,2017-2018
206,Fabio González,ESP,Centrocampista,Las Palmas,20,1997,1,1,64,0,0,0,1,0,0.0,0.0,2017-2018
207,Mario González,ESP,Delantero,Villarreal,21,1996,2,0,18,0,0,0,0,0,0.1,0.1,2017-2018
208,Andoni Gorosabel,ESP,Defensa,Real Sociedad,20,1996,2,1,76,0,0,0,0,0,0.0,0.0,2017-2018
209,Julio Gracia,ESP,Defensa,Betis,19,1998,2,0,23,0,0,0,0,0,0.0,0.0,2017-2018
210,Álex Granell,ESP,Centrocampista,Girona,28,1988,34,33,2848,1,7,8,11,0,2.4,6.5,2017-2018
211,Esteban Granero,ESP,Centrocampista,Espanyol,30,1987,25,11,1230,1,2,3,4,0,0.6,2.1,2017-2018
212,Antoine Griezmann,FRA,Delantero,Atlético Madrid,26,1991,32,30,2519,19,9,28,7,1,13.1,6.8,2017-2018
213,Vicente Guaita,ESP,PO,Getafe,30,1987,33,33,2970,0,0,0,1,0,0.0,0.2,2017-2018
214,Andrés Guardado,MEX,Centrocampista,Betis,30,1986,29,25,2264,2,8,10,7,0,2.5,5.2,2017-2018
215,Gonçalo Guedes,POR,Centrocampista,Valencia,20,1996,33,27,2439,5,9,14,2,0,4.7,7.0,2017-2018
216,Ramiro Guerra,URU,Centrocampista,Villarreal,20,1997,4,0,71,0,0,0,1,0,0.0,0.1,2017-2018
217,Francis Guerrero,ESP,Defensa,Betis,21,1996,14,10,993,1,0,1,2,0,0.3,0.5,2017-2018
218,John Guidetti,SWE,Delantero,Alavés,25,1992,17,15,1222,3,3,6,3,0,2.7,1.7,2017-2018
219,John Guidetti,SWE,Delantero,Celta Vigo,25,1992,8,0,115,0,0,0,0,0,0.9,0.5,2017-2018
