Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
Stole Dimitrievski,MKD,PO,Rayo Vallecano,28,1993.0,29.666666666666668,29.333333333333332,2662.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0
Strahinja Tanasijević,SRB,Defensa,Chievo,21,1997.0,1.0,0.0,17.0,0.0,0.0,0.0,2.0,1.0,0.1,0.0
Stuart Armstrong,SCO,Centrocampista,Southampton,30,1992.0,29.8,19.2,1758.4,3.2,2.2,5.4,3.2,0.0,2.48,1.9600000000000002
Stuart Dallas,NIR,Centrocampista,Leeds United,30,1991.0,36.0,36.0,3164.0,4.5,1.5,6.0,6.0,0.0,3.05,2.05
Stuart McKinstry,SCO,Centrocampista,Leeds United,18,2002.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suf Podgoreanu,ISR,Delantero,Spezia,19,2002.0,5.0,1.0,113.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sullay Kaikai,SLE,Centrocampista,Crystal Palace,21,1995.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulley Muntari,GHA,Centrocampista,La Coruña,32,1984.0,8.0,6.0,405.0,0.0,0.0,0.0,3.0,0.0,0.3,0.4
Suso,ESP,Delantero,Sevilla,28,1993.0,24.285714285714285,19.285714285714285,1664.4285714285713,2.857142857142857,4.0,6.857142857142857,2.2857142857142856,0.2857142857142857,1.9857142857142858,4.471428571428571
Svante Ingelsson,SWE,Centrocampista,Udinese,20,1998.0,5.0,2.0,211.0,0.5,0.5,1.0,0.0,0.0,0.25,0.1
Sven Botman,NED,Defensa,Newcastle Utd,22,2000.0,36.0,35.0,3127.0,0.0,0.0,0.0,2.0,0.0,2.5,1.0
Sydney van Hooijdonk,NED,Delantero,Bologna,21,2000.0,4.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Szymon Żurkowski,POL,Centrocampista,Fiorentina,24,1997.0,12.25,8.0,694.5,1.5,0.75,2.25,1.5,0.0,1.125,0.4
Séamus Coleman,IRL,Defensa,Everton,33,1988.0,24.333333333333332,21.666666666666668,1892.8333333333333,0.6666666666666666,1.1666666666666667,1.8333333333333333,1.8333333333333333,0.16666666666666666,1.0000000000000002,1.5833333333333333
Sébastien Corchia,FRA,Defensa,Sevilla,28,1990.0,7.5,6.0,545.0,0.0,0.5,0.5,2.5,0.0,0.2,0.75
Sébastien Haller,CIV,Delantero,West Ham,26,1994.0,24.0,17.0,1601.5,5.0,0.5,5.5,0.5,0.0,5.45,1.95
Sékou Gassama,SEN,Delantero,Valladolid,27,1995.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Sérgio Oliveira,POR,Centrocampista,Roma,29,1992.0,14.0,13.0,892.0,2.0,0.0,2.0,5.0,0.0,1.3,1.7
Tachi,ESP,Defensa,Alavés,23,1997.0,7.666666666666667,4.0,442.3333333333333,0.0,0.0,0.0,2.3333333333333335,0.3333333333333333,0.13333333333333333,0.10000000000000002
Tahith Chong,NED,Delantero,Manchester Utd,19,1999.0,2.5,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Taiwo Awoniyi,NGA,Delantero,Nott'ham Forest,24,1997.0,27.0,17.0,1404.0,10.0,1.0,11.0,2.0,0.0,6.6,1.1
Takashi Inui,JPN,Centrocampista,Eibar,32,1988.0,22.2,18.2,1523.0,2.0,1.0,3.0,1.2,0.0,2.74,1.2
Takefusa Kubo,JPN,Centrocampista,Mallorca,21,2001.0,25.8,15.8,1492.0,3.0,1.8,4.8,3.0,0.2,2.7399999999999998,2.8
Takehiro Tomiyasu,JPN,Defensa,Arsenal,23,1998.0,20.6,17.2,1519.0,0.6,1.0,1.6,3.2,0.0,0.8,0.8400000000000001
Takumi Minamino,JPN,Delantero,Liverpool,26,1995.0,10.0,3.5,359.75,1.5,0.0,1.5,0.5,0.0,1.25,0.25
Tammy Abraham,ENG,Delantero,Swansea City,24,1997.0,32.4,22.4,2050.8,10.2,2.4,12.6,2.6,0.0,12.12,2.68
Tana,ESP,Centrocampista,Las Palmas,26,1990.0,24.0,16.0,1552.0,1.0,1.0,2.0,2.0,0.0,2.0,1.2
Tanguy Ndombele,FRA,Centrocampista,Tottenham,25,1996.0,23.25,13.5,1097.75,1.75,1.25,3.0,3.0,0.0,0.85,0.85
Tanguy Nianzou,FRA,Defensa,Sevilla,20,2002.0,19.0,16.0,1366.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0
Tanner Tessmann,USA,Centrocampista,Venezia,19,2001.0,20.0,6.0,680.0,0.0,0.0,0.0,1.0,1.0,0.6,0.1
Tariq Lamptey,GHA,Defensa,Chelsea,21,2000.0,14.0,7.4,704.0,0.2,0.8,1.0,2.2,0.2,0.36,0.9400000000000001
Tariqe Fosu,GHA,Defensa,Brentford,25,1995.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Richards,ENG,Centrocampista,Brighton,20,2000.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teemu Pukki,FIN,Delantero,Norwich City,31,1990.0,36.5,35.0,3069.5,11.0,3.0,14.0,3.5,0.0,11.3,3.8
Telasco Segovia,VEN,Centrocampista,Sampdoria,19,2003.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terence Kongolo,NED,Defensa,Huddersfield,26,1994.0,15.333333333333334,14.666666666666666,1285.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,0.5333333333333333,0.4000000000000001
Tete Morente,ESP,Centrocampista,Elche,25,1996.0,31.333333333333332,21.333333333333332,1906.3333333333333,3.0,2.6666666666666665,5.666666666666667,4.666666666666667,0.0,2.966666666666667,1.6000000000000003
Tetê,BRA,Delantero,Leicester City,22,2000.0,13.0,9.0,734.0,1.0,0.0,1.0,0.0,0.0,1.8,0.4
Teun Koopmeiners,NED,Centrocampista,Atalanta,24,1998.0,31.5,27.5,2492.0,7.0,2.5,9.5,5.5,0.0,4.6499999999999995,5.85
Theo Bongonda,COD,Centrocampista,Cádiz,26,1995.0,31.0,24.0,1938.0,4.0,3.0,7.0,2.0,0.0,5.2,3.0
Theo Corbeanu,CAN,Delantero,Wolves,18,2002.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Hernández,FRA,Defensa,Real Madrid,24,1997.0,27.833333333333332,26.5,2361.8333333333335,3.8333333333333335,3.0,6.833333333333333,6.5,0.5,3.25,3.5500000000000003
Theo Walcott,ENG,Delantero,Arsenal,33,1989.0,16.625,11.5,970.75,1.875,1.625,3.5,0.625,0.0,2.05,1.475
Thiago Alcántara,ESP,Centrocampista,Liverpool,31,1991.0,22.333333333333332,17.0,1547.3333333333333,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,0.0,1.1666666666666665,1.8999999999999997
Thiago Cionek,POL,Defensa,SPAL,33,1986.0,24.666666666666668,22.333333333333332,2020.3333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,9.333333333333334,0.6666666666666666,0.8666666666666666,0.9666666666666668
Thiago Galhardo,BRA,Delantero,Celta Vigo,32,1989.0,31.0,9.0,1148.0,2.0,2.0,4.0,5.0,0.0,3.4,1.9
Thiago Silva,BRA,Defensa,Chelsea,37,1984.0,27.333333333333332,25.666666666666668,2312.3333333333335,1.6666666666666667,0.6666666666666666,2.3333333333333335,3.0,0.3333333333333333,1.3666666666666665,0.3333333333333333
Thibaut Courtois,BEL,PO,Chelsea,30,1992.0,33.5,33.5,3015.0,0.0,0.0,0.0,1.0,0.0,0.03333333333333333,0.06666666666666667
Thierry Correia,POR,Defensa,Valencia,23,1999.0,19.75,17.5,1454.75,0.25,0.5,0.75,4.0,0.25,0.275,0.8750000000000001
Thilo Kehrer,GER,Defensa,West Ham,25,1996.0,27.0,25.0,2230.0,0.0,2.0,2.0,4.0,0.0,0.5,0.6
