,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
2791,Patrick Twumasi,GHA,Centrocampista,Alavés,24,1994,11,0,170,0,0,0,2,0,0.1,0.1
2792,Samuel Umtiti,FRA,Defensa,Barcelona,24,1993,14,13,1189,0,1,1,4,0,0.2,0.7
2793,Enes Ünal,TUR,Delantero,Valladolid,21,1997,33,24,2148,6,3,9,7,0,7.9,1.5
2794,Tomáš Vaclík,CZE,PO,Sevilla,29,1989,33,33,2970,0,0,0,1,0,0.0,0.0
2795,Jesús Vallejo,ESP,Defensa,Real Madrid,21,1997,5,4,311,1,0,1,1,1,0.7,0.0
2796,Federico Valverde,URU,Centrocampista,Real Madrid,20,1998,16,6,656,0,0,0,4,0,0.3,0.3
2797,Raphaël Varane,FRA,Defensa,Real Madrid,25,1993,32,31,2754,2,0,2,0,1,2.1,0.3
2798,Franco Vázquez,ARG,Centrocampista,Sevilla,29,1989,34,26,2280,3,4,7,8,1,4.1,3.9
2799,Kevin Vázquez,ESP,Defensa,Celta Vigo,25,1993,4,2,220,0,0,0,0,0,0.0,0.0
2800,Lucas Vázquez,ESP,Delantero,Real Madrid,27,1991,31,15,1510,1,3,4,6,1,2.6,4.7
2801,Koke Vegas,ESP,PO,Levante,22,1995,1,1,90,0,0,0,0,0,0.0,0.0
2802,Emiliano Velázquez,URU,Defensa,Rayo Vallecano,24,1994,18,14,1277,0,2,2,8,0,1.0,0.8
2803,Daniele Verde,ITA,Centrocampista,Valladolid,22,1996,22,4,657,2,0,2,1,0,1.6,1.4
2804,Thomas Vermaelen,BEL,Defensa,Barcelona,32,1985,9,7,587,0,0,0,2,0,0.1,0.0
2805,Mikel Vesga,ESP,Centrocampista,Leganés,25,1993,26,23,2070,1,1,2,3,0,0.8,1.1
2806,Rúben Vezo,POR,Defensa,Levante,24,1994,15,15,1339,2,1,3,4,0,0.7,1.1
2807,Rúben Vezo,POR,Defensa,Valencia,24,1994,4,2,196,0,0,0,2,0,0.1,0.1
2808,Aleix Vidal,ESP,Defensa,Sevilla,28,1989,11,5,528,0,0,0,3,0,0.4,1.0
2809,Arturo Vidal,CHI,Centrocampista,Barcelona,31,1987,33,22,1929,3,7,10,7,0,3.4,4.8
