Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada,Valor de mercado
Manuel De Luca,ITA,Delantero,Sampdoria,24,1998.0,2.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,1400000.0
Manuel Gasparini,ITA,PO,Udinese,18,2002.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-2021,300000.0
Manuel Lanzini,ARG,Centrocampista,West Ham,29,1993.0,19.666666666666668,11.833333333333334,1118.5,2.1666666666666665,2.1666666666666665,4.333333333333333,1.6666666666666667,0.0,2.0666666666666664,1.7666666666666666,2017-2018,5000000.0
Manuel Lazzari,ITA,Defensa,Lazio,28,1993.0,32.0,27.666666666666668,2442.6666666666665,1.1666666666666667,3.333333333333333,4.5,5.0,0.1666666666666666,1.1833333333333331,2.8833333333333333,2017-2018,7500000.0
Manuel Locatelli,ITA,Centrocampista,Juventus,24,1998.0,30.0,23.5,2101.0,1.5,2.6666666666666665,4.166666666666667,7.166666666666667,0.0,1.95,2.4000000000000004,2017-2018,30000000.0
Manuel Pozo,ESP,Delantero,Valladolid,20,2001.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2022-2023,300000.0
Manuel Pucciarelli,ITA,Delantero,Chievo,27,1991.0,16.0,10.0,841.0,1.0,0.0,1.0,2.0,0.0,1.1,0.4,2017-2018,150000.0
Marash Kumbulla,ALB,Defensa,Roma,22,2000.0,17.5,14.25,1149.25,0.5,0.0,0.5,5.5,0.5,0.8500000000000001,0.1999999999999999,2019-2020,8000000.0
Marc Albrighton,ENG,Centrocampista,Leicester City,32,1989.0,22.5,14.333333333333334,1357.5,1.1666666666666667,3.1666666666666665,4.333333333333333,2.5,0.1666666666666666,0.8666666666666666,2.8666666666666667,2017-2018,1000000.0
Marc Bartra,ESP,Defensa,Betis,30,1991.0,24.2,24.0,2111.8,1.2,0.4,1.6,5.2,0.0,1.2399999999999998,0.78,2017-2018,3000000.0
Marc Baró,ESP,Defensa,Cádiz,20,1999.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2020-2021,200000.0
Marc Cardona,ESP,Delantero,Osasuna,25,1995.0,13.0,5.0,454.0,1.3333333333333333,1.0,2.333333333333333,0.6666666666666666,0.0,1.8,0.6,2018-2019,1400000.0
Marc Cucurella,ESP,Defensa,Getafe,24,1998.0,27.5,26.0,2269.6666666666665,1.0,2.0,3.0,5.5,0.0,1.2333333333333336,2.433333333333333,2021-2022,28000000.0
Marc Guéhi,ENG,Defensa,Crystal Palace,22,2000.0,36.5,36.5,3275.5,1.5,0.5,2.0,6.0,0.0,2.0,0.9,2021-2022,35000000.0
