Jugador,País,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado
Kevin Strootman,NED,Centrocampista,Genoa,33,1990.0,12.333333333333334,11.0,831.0,0.0,2.0,2.0,4.333333333333333,0.0,0.19999999999999998,1.3,1300000.0
Kevin Vázquez,ESP,Defensa,Celta Vigo,30,1993.0,10.166666666666666,8.333333333333334,702.1666666666666,0.0,0.16666666666666666,0.16666666666666666,2.5,0.0,0.06666666666666667,0.26666666666666666,1000000.0
Keylor Navas,CRC,PO,Nott'ham Forest,35,1986.0,18.0,18.0,1619.6666666666667,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,3000000.0
Khouma Babacar,SEN,Delantero,Lecce,26,1993.0,25.0,17.0,1422.0,3.0,0.0,3.0,4.0,0.0,6.6,1.6,500000.0
Khvicha Kvaratskhelia,GEO,Delantero,Napoli,22,2001.0,23.0,20.0,1683.0,8.0,6.5,14.5,1.5,0.0,6.5,5.15,85000000.0
Ki Sung-yueng,KOR,Centrocampista,Newcastle Utd,30,1989.0,2.0,0.5,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Ki-Jana Hoever,NED,Defensa,Wolves,19,2002.0,10.0,4.5,442.5,0.0,0.0,0.0,1.0,0.0,0.0,0.15000000000000002,3500000.0
Kieffer Moore,WAL,Delantero,Bournemouth,31,1992.0,16.0,6.0,683.5,2.0,0.0,2.0,0.5,0.0,2.45,0.25,4000000.0
Kieran Dowell,ENG,Delantero,Norwich City,23,1997.0,19.0,11.0,912.0,1.0,1.0,2.0,0.0,0.0,1.1,1.5,2000000.0
Kieran Tierney,SCO,Defensa,Arsenal,26,1997.0,19.0,14.0,1245.8,0.6,1.8,2.4,1.2,0.0,0.31999999999999995,1.3599999999999999,25000000.0
Kieran Trippier,ENG,Defensa,Newcastle Utd,33,1990.0,20.833333333333332,19.833333333333332,1721.1666666666667,0.5,3.8333333333333335,4.333333333333333,2.0,0.0,0.25000000000000006,4.233333333333333,11000000.0
Kiernan Dewsbury-Hall,ENG,Centrocampista,Leicester City,23,1998.0,29.5,25.5,2205.5,1.5,2.0,3.5,4.5,0.5,1.7999999999999998,3.0,30000000.0
Kike Barja,ESP,Centrocampista,Osasuna,26,1997.0,19.8,9.4,832.8,1.0,2.0,3.0,1.4,0.0,1.22,1.58,2500000.0
Kike Hermoso,ESP,Defensa,Betis,21,1999.0,1.0,1.0,90.0,1.0,0.0,1.0,0.0,0.0,0.2,0.0,200000.0
Kike Pérez,ESP,Centrocampista,Valladolid,26,1997.0,17.8,10.2,917.6,0.8,0.4,1.2,3.2,0.0,1.2599999999999998,0.82,4500000.0
