,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
3240,Luka Jović,SRB,Delantero,Fiorentina,24,1997,31,16,1534,6,3,9,3,0,7.9,1.5
3241,Hamed Junior Traorè,CIV,Centrocampista,Sassuolo,22,2000,11,6,591,0,3,3,1,0,1.0,1.8
3242,Yayah Kallon,SLE,Centrocampista,Hellas Verona,21,2001,22,8,860,1,1,2,1,0,1.7,1.5
3243,Pierre Kalulu,FRA,Defensa,Milan,22,2000,34,26,2548,1,0,1,4,0,1.5,1.2
3244,Yann Karamoh,FRA,Centrocampista,Torino,24,1998,21,7,716,4,0,4,2,0,3.3,0.7
3245,Rick Karsdorp,NED,Defensa,Roma,27,1995,13,8,711,0,0,0,0,0,0.3,1.2
3246,Denso Kasius,NED,Defensa,Bologna,19,2002,7,4,342,0,2,2,1,0,0.1,0.7
3247,Grigoris Kastanos,CYP,Centrocampista,Salernitana,24,1998,28,13,1286,2,1,3,4,0,1.9,0.6
3248,Moise Kean,ITA,Delantero,Juventus,22,2000,28,11,995,6,0,6,5,1,6.3,1.1
3249,Jakub Kiwior,POL,Defensa,Spezia,22,2000,17,17,1443,0,0,0,3,0,0.6,0.2
3250,Simon Kjær,DEN,Defensa,Milan,33,1989,17,12,1007,0,0,0,4,0,0.0,0.0
3251,Teun Koopmeiners,NED,Centrocampista,Atalanta,24,1998,33,32,2858,10,4,14,7,0,7.6,6.4
3252,Filip Kostić,SRB,Defensa,Juventus,29,1992,37,33,2564,3,8,11,3,0,2.4,7.1
3253,Christian Kouamé,CIV,Delantero,Fiorentina,24,1997,28,22,1866,4,4,8,5,0,5.3,3.7
3254,Viktor Kovalenko,UKR,Centrocampista,Spezia,26,1996,18,7,548,0,0,0,1,0,1.6,0.6
3255,Julian Kristoffersen,NOR,Delantero,Salernitana,25,1997,1,0,18,0,0,0,0,0,0.0,0.0
3256,Raimonds Krollis,LVA,Delantero,Spezia,20,2001,4,0,36,0,0,0,0,0,0.1,0.0
3257,Rade Krunić,BIH,Centrocampista,Milan,28,1993,23,18,1657,0,1,1,8,0,1.1,1.1
