,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
1747,Antonín Barák,CZE,Centrocampista,Hellas Verona,25,1994,34,32,2765,7,3,10,5,1,6.8,2.2
1748,Federico Barba,ITA,Defensa,Benevento,26,1993,32,31,2659,0,2,2,8,0,0.8,1.4
1749,Nicolò Barella,ITA,Centrocampista,Inter,23,1997,36,32,2896,3,7,10,5,0,2.4,5.7
1750,Antonio Barreca,ITA,Defensa,Fiorentina,25,1995,3,1,85,0,0,0,0,0,0.1,0.0
1751,Musa Barrow,GAM,Delantero,Bologna,21,1998,38,34,2921,8,8,16,0,0,7.0,6.0
1752,Paolo Bartolomei,ITA,Centrocampista,Spezia,30,1989,6,3,320,0,1,1,1,0,0.1,0.3
1753,Daniele Baselli,ITA,Centrocampista,Torino,28,1992,15,3,396,0,0,0,2,0,0.3,0.7
1754,Alessandro Bastoni,ITA,Defensa,Inter,21,1999,33,33,2922,0,3,3,6,0,1.0,1.5
1755,Simone Bastoni,ITA,Defensa,Spezia,23,1996,22,19,1522,1,7,8,7,0,1.2,3.1
1756,Bastos,ANG,Defensa,Lazio,29,1991,2,0,63,0,0,0,0,0,0.0,0.0
1757,Rodrigo Becão,BRA,Defensa,Udinese,24,1996,35,32,2780,1,0,1,5,0,1.3,0.3
1758,Valon Behrami,SUI,Centrocampista,Genoa,35,1985,26,8,892,0,0,0,3,1,0.5,0.1
1759,Andrea Belotti,ITA,Delantero,Torino,26,1993,35,33,2888,13,6,19,4,0,13.7,7.0
1760,Ahmad Benali,LBY,Centrocampista,Crotone,28,1992,18,15,1214,0,1,1,2,0,0.6,1.2
1761,Ismaël Bennacer,ALG,Centrocampista,Milan,22,1997,21,17,1326,0,2,2,4,0,0.9,0.6
1762,Rodrigo Bentancur,URU,Centrocampista,Juventus,23,1997,33,27,2324,0,4,4,8,1,0.6,2.3
1763,Alessandro Berardi,ITA,PO,Hellas Verona,29,1991,1,0,28,0,0,0,0,0,0.0,0.0
1764,Domenico Berardi,ITA,Delantero,Sassuolo,25,1994,30,28,2475,17,7,24,4,0,15.0,6.2
1765,Álex Berenguer,ESP,Centrocampista,Torino,25,1995,2,2,131,0,0,0,0,0,0.4,0.0
1766,Bartosz Bereszyński,POL,Defensa,Sampdoria,28,1992,31,29,2607,1,0,1,2,0,0.2,0.7
1767,Federico Bernardeschi,ITA,Centrocampista,Juventus,26,1994,27,8,972,0,2,2,3,0,1.3,2.8
1768,Marco Bertini,ITA,Centrocampista,Lazio,17,2002,1,0,5,0,0,0,0,0,0.0,0.0
1769,Daniel Bessa,ITA,Centrocampista,Hellas Verona,27,1993,18,4,615,0,2,2,1,0,1.0,1.9
1770,Cristiano Biraghi,ITA,Defensa,Fiorentina,27,1992,35,31,2803,1,5,6,8,0,1.9,6.7
1771,Davide Biraschi,ITA,Defensa,Genoa,26,1994,13,11,915,0,0,0,2,0,0.1,0.0
1772,Jeremie Boga,CIV,Delantero,Sassuolo,23,1997,27,20,1785,4,2,6,0,0,3.6,0.9
1773,Giacomo Bonaventura,ITA,Centrocampista,Fiorentina,30,1989,34,27,2256,3,2,5,5,0,2.7,3.0
1774,Federico Bonazzoli,ITA,Delantero,Torino,23,1997,20,4,564,2,2,4,2,0,1.3,0.7
1775,Federico Bonazzoli,ITA,Delantero,Sampdoria,23,1997,2,2,131,0,1,1,0,0,0.2,0.5
1776,Kevin Bonifazi,ITA,Defensa,Udinese,24,1996,30,28,2469,0,0,0,4,0,1.4,0.2
1777,Leonardo Bonucci,ITA,Defensa,Juventus,33,1987,26,23,2028,2,0,2,4,0,2.5,0.4
1778,Mehdi Bourabia,MAR,Centrocampista,Sassuolo,28,1991,15,4,528,1,0,1,2,0,0.5,0.1
1779,Edoardo Bove,ITA,Centrocampista,Roma,18,2002,1,0,11,0,0,0,0,0,0.0,0.0
1780,Jayden Braaf,NED,Delantero,Udinese,17,2002,4,1,116,1,0,1,0,0,0.1,0.1
1781,Gleison Bremer,BRA,Defensa,Torino,23,1997,33,33,2935,5,0,5,2,0,3.2,0.4
1782,Marcelo Brozović,CRO,Centrocampista,Inter,27,1992,33,29,2581,2,6,8,9,1,1.0,4.4
1783,Gastón Brugman,URU,Centrocampista,Parma,27,1992,26,21,1616,1,1,2,7,0,1.2,2.5
1784,Juan Brunetta,ARG,Delantero,Parma,23,1997,12,4,475,1,2,3,3,0,0.9,0.9
1785,Gianluigi Buffon,ITA,PO,Juventus,42,1978,8,8,720,0,0,0,0,0,0.0,0.0
1786,Alessandro Buongiorno,ITA,Defensa,Torino,21,1999,12,9,858,0,0,0,4,0,0.3,0.0
1787,Maxime Busi,BEL,Defensa,Parma,20,1999,24,11,1195,0,1,1,3,0,0.5,1.2
1788,Martín Cáceres,URU,Defensa,Fiorentina,33,1987,29,26,2238,2,2,4,4,0,1.7,1.2
1789,Felipe Caicedo,ECU,Delantero,Lazio,31,1988,25,9,929,8,0,8,5,0,5.5,0.7
1790,Arturo Calabresi,ITA,Defensa,Bologna,24,1996,1,0,20,0,0,0,0,0,0.0,0.0
1791,Arturo Calabresi,ITA,Defensa,Cagliari,24,1996,2,0,14,0,0,0,0,0,0.0,0.0
1792,Davide Calabria,ITA,Defensa,Milan,23,1996,32,30,2647,2,1,3,7,0,1.3,1.6
1793,Riccardo Calafiori,ITA,Defensa,Roma,18,2002,3,1,66,0,0,0,2,0,0.0,0.0
1794,Mattia Caldara,ITA,Defensa,Atalanta,26,1994,6,1,111,0,0,0,1,0,0.3,0.0
1795,Luca Caldirola,ITA,Defensa,Benevento,29,1991,25,17,1572,2,0,2,6,1,0.9,0.2
1796,Hakan Çalhanoğlu,TUR,Centrocampista,Milan,26,1994,33,30,2614,4,9,13,4,0,4.8,9.1
1797,Fabrizio Caligara,ITA,Centrocampista,Cagliari,20,2000,10,2,183,0,0,0,2,0,0.0,0.3
1798,José Callejón,ESP,Delantero,Fiorentina,33,1987,20,6,664,0,1,1,0,0,0.4,1.1
1799,Drissa Camara,CIV,Centrocampista,Parma,18,2002,1,0,15,0,0,0,0,0,0.0,0.0
1800,Antonio Candreva,ITA,Centrocampista,Sampdoria,33,1987,35,28,2505,5,8,13,1,0,4.9,5.9
1801,Elio Capradossi,ITA,Defensa,Spezia,24,1996,1,1,90,0,0,0,0,0,0.3,0.0
1802,Gianluca Caprari,ITA,Centrocampista,Benevento,27,1993,30,23,1865,5,6,11,4,1,4.0,3.0
1803,Francesco Caputo,ITA,Delantero,Sassuolo,32,1987,25,19,1697,11,5,16,1,0,9.9,2.1
1804,Andrea Carboni,ITA,Defensa,Cagliari,19,2001,15,12,1085,0,1,1,2,0,0.4,1.1
1805,Giuseppe Caso,ITA,Defensa,Genoa,21,1998,2,0,54,0,0,0,0,0,0.0,0.0
1806,Francesco Cassata,ITA,Defensa,Genoa,23,1997,8,2,227,0,0,0,2,0,0.0,0.0
1807,Samu Castillejo,ESP,Delantero,Milan,25,1995,28,12,1181,1,0,1,5,0,2.5,0.7
1808,Gaetano Castrovilli,ITA,Centrocampista,Fiorentina,23,1997,34,29,2332,5,3,8,8,1,3.0,2.5
1809,Danilo Cataldi,ITA,Centrocampista,Lazio,25,1994,19,4,568,0,0,0,4,0,0.3,0.3
1810,Federico Ceccherini,ITA,Defensa,Hellas Verona,28,1992,25,23,1738,0,0,0,8,0,1.3,0.6
1811,Federico Ceccherini,ITA,Defensa,Fiorentina,28,1992,3,3,270,0,0,0,2,0,0.0,0.0
1812,Luca Ceppitelli,ITA,Defensa,Cagliari,30,1989,19,16,1465,0,0,0,3,0,0.5,0.1
1813,Alberto Cerri,ITA,Delantero,Cagliari,24,1996,23,3,369,1,0,1,1,0,3.0,0.6
1814,Julian Chabot,GER,Defensa,Spezia,22,1998,25,19,1655,1,1,2,11,1,0.7,0.5
1815,Giorgio Chiellini,ITA,Defensa,Juventus,35,1984,17,16,1386,0,1,1,4,0,0.5,0.6
1816,Federico Chiesa,ITA,Defensa,Fiorentina,22,1997,3,3,240,1,1,2,0,0,0.8,0.7
1817,Federico Chiesa,ITA,Centrocampista,Juventus,22,1997,30,28,2210,8,8,16,3,1,6.1,7.8
1818,Vlad Chiricheș,ROU,Defensa,Sassuolo,30,1989,24,22,1837,2,1,3,6,0,1.3,0.4
1819,Luca Cigarini,ITA,Centrocampista,Crotone,34,1986,14,13,929,0,0,0,5,1,0.6,1.7
1820,Antonio Cioffi,ITA,Delantero,Napoli,17,2002,1,0,12,0,0,0,0,0,0.0,0.0
1821,Ebrima Colley,GAM,Centrocampista,Hellas Verona,20,2000,23,4,734,1,0,1,1,0,1.7,0.7
1822,Omar Colley,GAM,Defensa,Sampdoria,27,1992,29,28,2591,2,0,2,6,0,1.1,0.1
1823,Simone Colombi,ITA,PO,Parma,29,1991,2,2,180,0,0,0,0,0,0.0,0.0
1824,Lorenzo Colombo,ITA,Delantero,Milan,18,2002,4,1,94,0,0,0,0,0,0.6,0.0
1825,Andrea Consigli,ITA,PO,Sassuolo,33,1987,37,37,3330,0,0,0,1,0,0.0,0.0
1826,Andrea Conti,ITA,Defensa,Milan,26,1994,3,0,28,0,0,0,0,0,0.0,0.1
1827,Andrea Conti,ITA,Defensa,Parma,26,1994,11,9,809,0,0,0,3,0,0.5,0.5
1828,Alex Cordaz,ITA,PO,Crotone,37,1983,36,36,3240,0,0,0,1,0,0.0,0.0
1829,Andreas Cornelius,DEN,Delantero,Parma,27,1993,29,21,1898,1,4,5,4,0,2.9,3.5
1830,Joaquín Correa,ARG,Delantero,Lazio,25,1994,28,25,1933,8,3,11,3,1,6.9,2.2
1831,Félix Correia,POR,Centrocampista,Juventus,19,2001,1,0,7,0,0,0,0,0,0.0,0.0
1832,Douglas Costa,BRA,Centrocampista,Juventus,29,1990,2,0,42,0,0,0,0,0,0.0,0.1
1833,Angelo da Costa Júnior,BRA,PO,Bologna,36,1983,6,6,540,0,0,0,2,0,0.0,0.0
1834,Mamadou Coulibaly,SEN,Centrocampista,Udinese,21,1999,3,2,184,0,0,0,0,0,0.1,0.1
1835,Alessio Cragno,ITA,PO,Cagliari,26,1994,34,34,3060,0,0,0,1,0,0.0,0.0
1836,Gian Crespi,ITA,PO,Crotone,19,2001,1,1,90,0,0,0,0,0,0.0,0.0
1837,Domenico Criscito,ITA,Defensa,Genoa,33,1986,23,20,1726,1,0,1,6,0,0.9,0.4
1838,Bryan Cristante,ITA,Defensa,Roma,25,1995,34,22,2155,1,3,4,8,0,2.4,1.3
1839,Giovanni Crociata,ITA,Defensa,Crotone,22,1997,2,0,26,0,0,0,0,0,0.0,0.1
1840,Juan Cuadrado,COL,Defensa,Juventus,32,1988,30,26,2175,2,10,12,9,1,2.3,8.2
1841,Giuseppe Cuomo,ITA,Defensa,Crotone,22,1998,13,8,801,0,0,0,4,0,0.2,0.0
1842,Patrick Cutrone,ITA,Delantero,Fiorentina,22,1998,11,0,196,0,0,0,0,0,0.2,0.0
1843,Wylan Cyprien,FRA,Centrocampista,Parma,25,1995,13,2,410,0,0,0,2,0,0.3,0.2
1844,Lennart-Marten Czyborra,GER,Defensa,Genoa,21,1999,17,15,1173,1,0,1,2,0,0.2,0.3
1845,Danilo D'Ambrosio,ITA,Defensa,Inter,31,1988,19,7,699,3,0,3,2,0,1.3,0.2
1846,Bryan Dabo,BFA,Centrocampista,Benevento,28,1992,25,12,1117,0,0,0,5,0,0.7,0.3
1847,Diogo Dalot,POR,Defensa,Milan,21,1999,21,10,1090,1,1,2,5,0,0.4,0.9
1848,Mikkel Damsgaard,DEN,Centrocampista,Sampdoria,20,2000,35,18,1773,2,4,6,3,0,2.9,2.4
1849,Danilo,BRA,Defensa,Juventus,29,1991,34,32,2916,1,4,5,6,0,1.9,3.2
1850,Andrea Danzi,ITA,Defensa,Hellas Verona,21,1999,2,1,104,0,0,0,1,0,0.0,0.0
1851,Ebrima Darboe,GAM,Centrocampista,Roma,19,2001,5,4,323,0,0,0,2,0,0.1,0.0
1852,Matteo Darmian,ITA,Defensa,Parma,30,1989,3,2,208,0,0,0,1,0,0.0,0.0
1853,Matteo Darmian,ITA,Defensa,Inter,30,1989,26,14,1160,3,3,6,4,0,1.5,0.9
1854,Paweł Dawidowicz,POL,Defensa,Hellas Verona,25,1995,30,22,1860,0,0,0,9,0,1.9,1.0
1855,Sebastien De Maio,FRA,Defensa,Udinese,33,1987,15,9,853,0,0,0,1,0,0.4,0.0
1856,Rodrigo De Paul,ARG,Centrocampista,Udinese,26,1994,36,36,3201,9,9,18,5,2,6.2,11.2
1857,Mattia De Sciglio,ITA,Defensa,Juventus,27,1992,1,0,24,0,0,0,0,0,0.0,0.0
1858,Lorenzo De Silvestri,ITA,Defensa,Bologna,32,1988,29,25,2143,2,0,2,4,0,2.1,0.7
1859,Grégoire Defrel,MTQ,Centrocampista,Sassuolo,29,1991,28,14,1336,3,3,6,1,0,2.1,1.0
1860,Alessandro Deiola,ITA,Centrocampista,Spezia,24,1995,12,4,360,0,0,0,1,0,0.2,0.3
1861,Alessandro Deiola,ITA,Centrocampista,Cagliari,24,1995,12,7,615,0,0,0,2,0,0.2,0.8
1862,Lorenzo Del Pinto,ITA,Centrocampista,Benevento,30,1990,1,0,11,0,0,0,0,0,0.0,0.0
1863,Cristian Dell'Orco,ITA,Defensa,Spezia,26,1994,8,2,262,0,0,0,0,0,0.1,0.0
1864,Merih Demiral,TUR,Defensa,Juventus,22,1998,15,10,940,0,1,1,1,0,0.5,0.5
1865,Diego Demme,GER,Centrocampista,Napoli,28,1991,24,20,1590,2,3,5,6,0,1.2,1.9
1866,Stefano Denswil,NED,Defensa,Bologna,27,1993,5,1,115,0,0,0,0,0,0.0,0.0
1867,Fabio Depaoli,ITA,Defensa,Benevento,23,1997,15,14,1120,0,0,0,2,0,0.3,0.4
1868,Fabio Depaoli,ITA,Centrocampista,Sampdoria,23,1997,2,1,77,0,0,0,0,0,0.1,0.1
1869,Fabio Depaoli,ITA,Defensa,Atalanta,23,1997,5,3,191,0,0,0,0,0,0.0,0.2
1870,Kastriot Dermaku,ALB,Defensa,Parma,28,1992,2,1,100,0,0,0,0,0,0.0,0.0
1871,Kiril Despodov,BUL,Delantero,Cagliari,23,1996,1,0,11,0,0,0,0,0,0.0,0.0
1872,Mattia Destro,ITA,Delantero,Genoa,29,1991,29,22,1606,11,1,12,5,0,6.2,0.5
1873,Gerard Deulofeu,ESP,Delantero,Udinese,26,1994,13,7,598,1,1,2,0,0,1.4,1.1
1874,Jacopo Dezi,ITA,Delantero,Parma,28,1992,2,1,79,0,0,0,0,0,0.1,0.1
1875,Samuel Di Carmine,ITA,Delantero,Hellas Verona,31,1988,11,6,500,0,0,0,1,0,1.4,0.1
1876,Samuel Di Carmine,ITA,Delantero,Crotone,31,1988,11,6,475,0,0,0,1,0,0.5,0.0
1877,Giovanni Di Lorenzo,ITA,Defensa,Napoli,26,1993,36,36,3240,3,6,9,11,0,3.8,5.7
1878,Alessandro Di Pardo,ITA,Delantero,Juventus,21,1999,4,0,14,0,0,0,0,0,0.0,0.0
1879,Giuseppe Di Serio,ITA,Delantero,Benevento,19,2001,16,1,292,0,0,0,1,0,0.6,0.0
1880,Amad Diallo,CIV,Centrocampista,Atalanta,18,2002,1,0,14,0,0,0,1,0,0.0,0.1
1881,Amadou Diambo,GHA,Delantero,Benevento,19,2001,1,0,3,0,0,0,0,0,0.0,0.0
1882,Amadou Diawara,GUI,Centrocampista,Roma,23,1997,18,7,658,1,0,1,4,1,0.9,0.4
1883,Brahim Díaz,ESP,Centrocampista,Milan,20,1999,27,15,1228,4,3,7,2,0,3.4,1.5
1884,Daan Dierckx,BEL,Defensa,Parma,17,2003,7,6,471,0,0,0,1,0,0.0,0.0
1885,Mitchell Dijks,NED,Defensa,Bologna,27,1993,20,18,1481,0,0,0,7,1,0.1,0.2
1886,Federico Dimarco,ITA,Defensa,Hellas Verona,22,1997,35,29,2613,5,3,8,6,0,2.8,7.8
1887,Koffi Djidji,CIV,Defensa,Crotone,27,1992,20,16,1524,1,0,1,4,0,0.3,0.2
1888,Berat Djimsiti,ALB,Defensa,Atalanta,27,1993,33,28,2625,0,3,3,8,0,1.7,2.3
1889,Nicolás Domínguez,ARG,Centrocampista,Bologna,22,1998,28,15,1255,1,0,1,8,0,1.2,1.7
1890,Gianluigi Donnarumma,ITA,PO,Milan,21,1999,37,37,3330,0,0,0,1,0,0.0,0.0
1891,Bartłomiej Drągowski,POL,PO,Fiorentina,22,1997,36,36,3148,0,1,1,0,1,0.0,0.0
1892,Denis Drăguș,ROU,Delantero,Crotone,21,1999,9,1,177,0,0,0,1,0,0.2,0.0
1893,Radu Drăgușin,ROU,Defensa,Juventus,18,2002,1,0,1,0,0,0,0,0,0.0,0.0
1894,Léo Duarte,BRA,Defensa,Milan,24,1996,1,0,19,0,0,0,0,0,0.0,0.0
1895,Alfred Duncan,GHA,Centrocampista,Fiorentina,27,1993,4,2,162,0,0,0,0,0,0.0,0.0
1896,Alfred Duncan,GHA,Centrocampista,Cagliari,27,1993,19,12,1068,0,1,1,2,0,0.2,1.5
1897,Paulo Dybala,ARG,Delantero,Juventus,26,1993,20,14,1132,4,3,7,0,0,4.6,2.8
1898,Edin Džeko,BIH,Delantero,Roma,34,1986,27,20,1824,7,3,10,2,0,13.2,2.2
1899,Steeve-Mike Ebongue,FRA,Centrocampista,Genoa,19,2001,3,0,52,0,1,1,0,0,0.0,0.4
1900,Simone Edera,ITA,Defensa,Torino,23,1997,2,0,52,0,0,0,0,0,0.1,0.3
1901,Albin Ekdal,SWE,Centrocampista,Sampdoria,31,1989,32,26,2299,2,1,3,9,0,0.9,0.9
1902,Elif Elmas,MKD,Centrocampista,Napoli,20,1999,33,3,740,2,1,3,3,0,1.4,0.7
1903,Alan Empereur,BRA,Defensa,Hellas Verona,26,1994,4,4,219,0,0,0,1,0,0.1,0.0
1904,Christian Eriksen,DEN,Centrocampista,Inter,28,1992,26,17,1385,3,0,3,1,0,1.4,2.8
1905,Martin Erlic,CRO,Defensa,Spezia,22,1998,27,19,1798,3,1,4,6,0,1.2,0.2
1906,Gonzalo Escalante,ARG,Centrocampista,Lazio,27,1993,24,4,733,0,1,1,5,0,0.7,0.3
1907,Nahuel Estévez,ARG,Centrocampista,Spezia,24,1995,27,19,1768,0,3,3,7,0,1.9,2.8
1908,Valentin Eysseric,FRA,Centrocampista,Fiorentina,28,1992,16,6,729,2,0,2,2,0,1.3,0.6
1909,Nicolò Fagioli,ITA,Centrocampista,Juventus,19,2001,1,0,21,0,0,0,0,0,0.0,0.0
1910,Iago Falque,ESP,Centrocampista,Benevento,30,1990,11,4,358,1,1,2,0,0,0.4,1.2
1911,Andri Fannar Baldursson,ISL,Centrocampista,Bologna,18,2002,8,1,217,0,0,0,2,0,0.2,0.1
1912,Paolo Faragò,ITA,Defensa,Bologna,27,1993,1,0,23,0,0,0,0,0,0.1,0.0
1913,Paolo Faragò,ITA,Defensa,Cagliari,27,1993,8,4,369,0,0,0,2,0,0.2,0.5
1914,Davide Faraoni,ITA,Defensa,Hellas Verona,28,1991,34,33,2891,4,7,11,8,0,3.1,3.4
1915,Mohamed Fares,ALG,Defensa,Lazio,24,1996,21,12,1139,0,1,1,5,0,0.7,1.9
1916,Diego Farias,BRA,Delantero,Spezia,30,1990,29,17,1514,4,2,6,5,0,3.2,3.6
1917,Andrea Favilli,ITA,Delantero,Hellas Verona,23,1997,11,2,339,2,0,2,1,0,1.6,0.1
1918,Federico Fazio,ARG,Defensa,Roma,33,1987,6,5,406,1,0,1,2,0,0.2,0.1
1919,Luiz Felipe,ITA,Defensa,Lazio,23,1997,14,10,909,0,0,0,5,0,0.3,0.3
1920,Alex Ferrari,ITA,Defensa,Sampdoria,26,1994,12,11,880,0,1,1,3,0,0.0,1.0
1921,Salvador Ferrer,ESP,Defensa,Spezia,22,1998,18,14,1190,0,1,1,4,0,0.1,1.3
1922,Marco Festa,ITA,PO,Crotone,28,1992,1,1,90,0,0,0,0,0,0.0,0.0
1923,Fernando Forestieri,ITA,Delantero,Udinese,30,1990,19,3,552,1,1,2,1,0,1.5,1.3
1924,Daam Foulon,BEL,Defensa,Benevento,21,1999,23,11,1021,0,1,1,4,0,0.0,0.2
1925,Gianluca Frabotta,ITA,Defensa,Juventus,21,1999,15,8,689,0,1,1,5,0,0.2,0.9
1926,Remo Freuler,SUI,Centrocampista,Atalanta,28,1992,34,32,2712,2,3,5,5,0,1.9,3.3
1927,Daniel Fuzato,BRA,PO,Roma,23,1997,5,5,450,0,0,0,0,0,0.0,0.0
1928,Matteo Gabbia,ITA,Defensa,Milan,20,1999,8,7,557,0,0,0,2,0,0.5,0.0
1929,Manolo Gabbiadini,ITA,Delantero,Sampdoria,28,1991,16,10,870,3,2,5,1,0,2.8,1.8
1930,Roberto Gagliardini,ITA,Centrocampista,Inter,26,1994,28,14,1232,3,2,5,2,0,1.2,1.3
1931,Riccardo Gagliolo,SWE,Defensa,Parma,30,1990,28,22,1956,2,2,4,6,0,3.2,1.2
1932,Adolfo Gaich,ARG,Delantero,Benevento,21,1999,15,9,768,2,0,2,1,0,2.8,0.4
1933,Andrey Galabinov,BUL,Delantero,Spezia,31,1988,12,4,430,3,1,4,0,0,3.0,0.2
1934,Manuel Gasparini,ITA,PO,Udinese,18,2002,1,0,3,0,0,0,0,0,0.0,0.0
1935,Gervinho,CIV,Delantero,Parma,33,1987,27,25,2021,5,1,6,0,0,3.5,2.2
1936,Paolo Ghiglione,ITA,Defensa,Genoa,23,1997,23,14,1358,0,4,4,4,0,0.5,2.0
1937,Faouzi Ghoulam,ALG,Defensa,Napoli,29,1991,11,3,289,0,0,0,1,0,0.1,0.5
1938,Kamil Glik,POL,Defensa,Benevento,32,1988,36,36,3206,2,1,3,10,1,3.4,0.7
1939,Diego Godín,URU,Defensa,Cagliari,34,1986,28,28,2508,1,0,1,3,0,0.8,0.7
1940,Amer Gojak,BIH,Centrocampista,Torino,23,1997,15,6,475,1,1,2,1,0,0.8,0.3
1941,Edoardo Goldaniga,ITA,Defensa,Genoa,26,1993,25,19,1857,0,1,1,8,0,0.5,0.8
1942,Vladimir Golemić,SVN,Defensa,Crotone,29,1991,30,26,2341,2,0,2,4,1,1.2,0.5
1943,Pierluigi Gollini,ITA,PO,Atalanta,25,1995,25,25,2156,0,0,0,0,1,0.0,0.0
1944,Tomislav Gomelt,CRO,Centrocampista,Crotone,25,1995,2,0,19,0,0,0,0,0,0.0,0.0
1945,Papu Gómez,ARG,Centrocampista,Atalanta,32,1988,10,9,666,4,2,6,0,0,2.5,1.5
1946,Robin Gosens,GER,Defensa,Atalanta,26,1994,32,30,2523,11,6,17,9,1,8.4,3.6
1947,Alberto Grassi,ITA,Centrocampista,Parma,25,1995,23,13,1177,0,0,0,3,0,0.5,0.4
1948,Koray Günter,GER,Defensa,Hellas Verona,25,1994,27,21,1768,0,2,2,4,0,0.3,0.5
1949,Manu Gyabuaa,ITA,Centrocampista,Atalanta,18,2001,1,0,2,0,0,0,0,0,0.0,0.0
1950,Emmanuel Gyasi,GHA,Delantero,Spezia,26,1994,37,32,2851,4,6,10,4,0,5.1,4.1
1951,Achraf Hakimi,MAR,Defensa,Inter,21,1998,37,29,2665,7,8,15,6,0,4.7,6.2
1952,Samir Handanović,SVN,PO,Inter,36,1984,37,37,3240,0,0,0,1,0,0.0,0.0
1953,Lukáš Haraslín,SVK,Delantero,Sassuolo,24,1996,14,2,333,0,0,0,1,1,0.7,0.7
1954,Hans Hateboer,NED,Defensa,Atalanta,26,1994,22,20,1762,2,1,3,3,0,3.2,1.8
1955,Eduardo Henrique,BRA,Centrocampista,Crotone,25,1995,18,8,924,1,0,1,4,0,0.9,0.2
1956,Theo Hernández,FRA,Defensa,Milan,22,1997,33,33,2933,7,5,12,9,0,4.3,4.9
1957,Hernani,BRA,Centrocampista,Parma,26,1994,33,27,2189,7,3,10,11,0,3.4,2.7
1958,Përparim Hetemaj,FIN,Centrocampista,Benevento,33,1986,31,27,2212,0,2,2,5,0,0.6,1.4
1959,Aaron Hickey,SCO,Defensa,Bologna,18,2002,11,10,758,0,0,0,3,1,0.1,0.1
1960,Wesley Hoedt,NED,Defensa,Lazio,26,1994,17,10,952,0,0,0,6,0,0.1,0.1
1961,Elseid Hysaj,ALB,Defensa,Napoli,26,1994,24,20,1768,0,2,2,2,0,0.3,1.3
1962,Simone Iacoponi,ITA,Defensa,Parma,33,1987,16,13,1193,0,0,0,3,1,0.1,0.0
1963,Roger Ibanez,BRA,Defensa,Roma,21,1998,30,28,2398,0,2,2,7,1,1.2,1.5
1964,Zlatan Ibrahimović,SWE,Delantero,Milan,38,1981,19,18,1493,15,2,17,2,1,16.2,1.8
1965,Igor,BRA,Defensa,Fiorentina,22,1998,21,13,1168,0,0,0,5,0,0.3,0.1
1966,Ivan Ilić,SRB,Centrocampista,Hellas Verona,19,2001,29,19,1835,2,0,2,2,0,1.6,0.9
1967,Josip Iličić,SVN,Centrocampista,Atalanta,32,1988,28,17,1526,6,9,15,2,0,4.9,10.2
1968,Ciro Immobile,ITA,Delantero,Lazio,30,1990,35,34,2849,20,6,26,4,1,19.8,6.2
1969,Riccardo Improta,ITA,Defensa,Benevento,26,1993,34,23,2335,1,0,1,7,0,2.0,2.4
1970,Roberto Inglese,ITA,Delantero,Parma,28,1991,14,6,576,0,2,2,2,0,0.8,1.6
1971,Lorenzo Insigne,ITA,Delantero,Napoli,29,1991,35,33,2865,19,8,27,2,1,15.6,8.5
1972,Roberto Insigne,ITA,Centrocampista,Benevento,26,1994,30,17,1599,2,4,6,2,0,3.9,3.8
1973,Artur Ioniță,MDA,Centrocampista,Benevento,29,1990,36,34,2835,2,0,2,6,0,1.7,0.9
1974,Ardian Ismajli,ALB,Defensa,Spezia,23,1996,17,14,1297,1,1,2,3,1,0.7,0.6
1975,Armando Izzo,ITA,Defensa,Torino,28,1992,25,24,2004,2,0,2,3,0,1.5,0.3
1976,Mato Jajalo,BIH,Centrocampista,Udinese,32,1988,1,0,34,0,0,0,0,0,0.0,0.0
1977,Jakub Jankto,CZE,Centrocampista,Sampdoria,24,1996,35,29,2409,6,3,9,6,0,4.6,3.5
1978,Juan Jesus,BRA,Defensa,Roma,29,1991,5,0,157,0,0,0,0,0,0.0,0.0
1979,Hamed Junior Traorè,CIV,Centrocampista,Sassuolo,20,2000,35,20,1789,5,2,7,6,0,4.1,3.5
1980,Musa Juwara,GAM,Centrocampista,Bologna,18,2001,5,0,46,0,0,0,1,0,0.0,0.0
1981,Nikola Kalinić,CRO,Delantero,Hellas Verona,32,1988,19,15,1063,2,0,2,2,0,4.1,0.4
1982,Yayah Kallon,SLE,Delantero,Genoa,19,2001,1,0,45,0,0,0,0,0,0.1,0.0
1983,Pierre Kalulu,FRA,Defensa,Milan,20,2000,13,7,727,1,1,2,1,0,0.9,0.7
1984,Yann Karamoh,FRA,Delantero,Parma,22,1998,24,16,1294,2,1,3,3,0,4.2,1.8
1985,Isaac Karamoko,FRA,Defensa,Sassuolo,18,2002,1,0,1,0,0,0,0,0,0.0,0.0
1986,Augustus Kargbo,SLE,Delantero,Crotone,20,1999,1,0,32,0,0,0,0,0,0.0,0.0
1987,Rick Karsdorp,NED,Defensa,Roma,25,1995,34,28,2544,1,6,7,2,0,1.0,5.1
1988,Franck Kessié,CIV,Centrocampista,Milan,23,1996,37,36,3226,13,4,17,8,0,14.0,2.9
1989,Omar Khailoti,ITA,Defensa,Bologna,18,2001,1,0,28,0,0,0,0,0,0.0,0.0
1990,Simon Kjær,DEN,Defensa,Milan,31,1989,28,28,2393,0,2,2,3,0,1.6,1.2
