RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
51,Marc Bartra,es ESP,DF,Betis,29,1991,19,19,1694,18.8,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.6,4,31,4,0.00,0.05,0.05,0.00,0.05,0.03,0.05,0.08,0.03,0.08,Partidos
52,Álvaro Bastida,es ESP,CC,Cádiz,16,2004,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
53,Rodrigo Battaglia,ar ARG,CC,Alavés,29,1991,32,29,2492,27.7,1,0,1,1,0,0,10,1,1.2,1.2,0.2,1.3,22,73,14,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Partidos
54,Jon Bautista,es ESP,DL,Real Sociedad,25,1995,21,0,370,4.1,0,1,1,0,0,0,3,0,0.9,0.9,0.3,1.2,5,3,26,0.00,0.24,0.24,0.00,0.24,0.23,0.07,0.30,0.23,0.30,Partidos
55,Fran Beltrán,es ESP,"CC,DL",Celta Vigo,21,1999,32,13,1399,15.5,3,0,3,3,0,0,3,0,1.2,1.2,0.3,1.4,8,55,21,0.19,0.00,0.19,0.19,0.19,0.08,0.02,0.09,0.08,0.09,Partidos
56,Sergio Benito,es ESP,DL,Valladolid,21,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
57,Karim Benzema,fr FRA,DL,Real Madrid,32,1987,34,33,2894,32.2,23,9,32,22,1,1,2,0,18.5,17.7,6.4,24.1,107,114,256,0.72,0.28,1.00,0.68,0.96,0.58,0.20,0.78,0.55,0.75,Partidos
58,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,23,21,1682,18.7,1,3,4,1,0,0,3,0,0.9,0.9,2.0,2.9,55,98,105,0.05,0.16,0.21,0.05,0.21,0.05,0.11,0.15,0.05,0.15,Partidos
59,Álex Berenguer,es ESP,"CC,DL",Athletic Club,25,1995,35,27,2278,25.3,8,4,12,8,0,0,4,0,6.2,6.2,3.4,9.7,64,85,201,0.32,0.16,0.47,0.32,0.47,0.25,0.14,0.38,0.25,0.38,Partidos
60,Pedro Bigas,es ESP,DF,Eibar,29,1990,21,19,1529,17.0,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,9,42,7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
